targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,break_text.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,2,1,0,1,0,0,1,1,1,34.31000669999048,34.81007009999303,35.493431700000656,None,34.79363960000046,35.493431700000656,35.99345500000345,None,left,1,0.2842475000070408,35.99345500000345,None,None,34.79363960000046,35.99345500000345,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,0,0,right,8,1,0,1,0,0,2,2,7,36.293418999994174,36.79350899999554,37.476739299992914,None,36.77670760000183,37.476739299992914,37.97682919999352,None,right,1,0.3009943000070052,37.97682919999352,None,None,36.77670760000183,37.97682919999352,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
-0.5,0,1,left,2,1,0,1,0,0,3,3,2,38.29346249999071,38.793464399990626,39.47679220000282,None,38.77674099999422,39.47679220000282,39.97690619999776,None,left,1,0.267119800002547,39.97690619999776,None,None,38.77674099999422,39.97690619999776,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,180,1,right,6,1,0,1,0,0,4,4,6,40.2600875999924,40.76008599999477,41.443460499998764,None,40.743682100001024,41.443460499998764,41.94366859999718,None,right,1,0.21667599999636877,41.94366859999718,None,None,40.743682100001024,41.94366859999718,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,180,1,right,6,1,0,1,0,0,5,5,4,42.176794099999825,42.67673680000007,43.36005229999137,None,42.66029020000133,43.36005229999137,43.86014969999087,None,right,1,0.3006220000097528,43.86014969999087,None,None,42.66029020000133,43.86014969999087,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,180,1,right,6,1,0,1,0,0,6,6,5,44.17676550000033,44.676832600001944,45.3602905000007,None,44.6602736999921,45.3602905000007,45.8600363000005,None,left,0,0.21717600000556558,45.8600363000005,None,None,44.6602736999921,45.8600363000005,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
-0.5,0,1,left,2,1,0,1,0,0,7,7,0,46.093501399998786,46.59345439999015,47.276973599990015,None,46.576937999998336,47.276973599990015,47.776767499992275,None,left,1,0.3185559999983525,47.776767499992275,None,None,46.576937999998336,47.776767499992275,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,48.11009390000254,None,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,180,1,right,6,2,0,2,0,0,0,0,4,58.243648099989514,58.74360020000313,59.42692329999409,None,58.726941799992346,59.42692329999409,59.9269026999973,None,right,1,0.2335804000031203,59.9269026999973,None,None,58.726941799992346,59.9269026999973,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,0,0,right,8,2,0,2,0,0,1,1,7,60.17671139999584,60.67690819999552,61.360310199990636,None,60.660315399989486,61.360310199990636,61.86012279998977,None,right,1,0.43421829999715555,61.86012279998977,None,None,60.660315399989486,61.86012279998977,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
